salary,name,surname,position,profile
5885,name_0,surname_0,Lead,QA
8758,name_1,surname_1,Lead,QA
6351,name_2,surname_2,Junior,DevOps
4233,name_3,surname_3,Middle,PM
2517,name_4,surname_4,Trainee,QA
4317,name_5,surname_5,Senior,Dev
9448,name_6,surname_6,Middle,DevOps
6742,name_7,surname_7,Lead,Dev
4072,name_8,surname_8,Trainee,Dev
4029,name_9,surname_9,Senior,QA
4864,name_10,surname_10,Lead,Dev
9217,name_11,surname_11,Lead,PM
3125,name_12,surname_12,Lead,QA
3402,name_13,surname_13,Middle,Dev
5666,name_14,surname_14,Senior,Dev
5323,name_15,surname_15,Middle,QA
5222,name_16,surname_16,Trainee,Dev
4234,name_17,surname_17,Junior,Dev
3980,name_18,surname_18,Lead,Dev
6685,name_19,surname_19,Middle,DevOps
5657,name_20,surname_20,Middle,QA
6686,name_21,surname_21,Lead,PM
3818,name_22,surname_22,Lead,PM
9433,name_23,surname_23,Junior,DevOps
8262,name_24,surname_24,Middle,PM
8209,name_25,surname_25,Senior,QA
4272,name_26,surname_26,Lead,QA
8287,name_27,surname_27,Lead,Dev
9241,name_28,surname_28,Middle,PM
2801,name_29,surname_29,Senior,PM
8141,name_30,surname_30,Lead,Dev
5026,name_31,surname_31,Junior,DevOps
8341,name_32,surname_32,Junior,Dev
6884,name_33,surname_33,Trainee,PM
8331,name_34,surname_34,Middle,QA
9256,name_35,surname_35,Lead,Dev
9586,name_36,surname_36,Lead,QA
4010,name_37,surname_37,Senior,DevOps
8341,name_38,surname_38,Middle,QA
5361,name_39,surname_39,Junior,Dev
2837,name_40,surname_40,Senior,DevOps
8370,name_41,surname_41,Junior,PM
4365,name_42,surname_42,Junior,Dev
3576,name_43,surname_43,Lead,PM
2746,name_44,surname_44,Trainee,PM
8734,name_45,surname_45,Senior,DevOps
7797,name_46,surname_46,Junior,QA
5939,name_47,surname_47,Trainee,DevOps
3280,name_48,surname_48,Senior,QA
4166,name_49,surname_49,Junior,QA
7306,name_50,surname_50,Lead,PM
3380,name_51,surname_51,Junior,DevOps
8802,name_52,surname_52,Middle,QA
3764,name_53,surname_53,Trainee,Dev
3052,name_54,surname_54,Lead,QA
3037,name_55,surname_55,Junior,QA
6256,name_56,surname_56,Senior,DevOps
6413,name_57,surname_57,Senior,QA
3522,name_58,surname_58,Junior,DevOps
4143,name_59,surname_59,Trainee,QA
3924,name_60,surname_60,Lead,Dev
7324,name_61,surname_61,Middle,PM
7162,name_62,surname_62,Senior,Dev
8257,name_63,surname_63,Trainee,DevOps
6482,name_64,surname_64,Lead,Dev
9812,name_65,surname_65,Middle,Dev
7051,name_66,surname_66,Middle,PM
8882,name_67,surname_67,Senior,DevOps
4756,name_68,surname_68,Lead,QA
4834,name_69,surname_69,Lead,PM
2553,name_70,surname_70,Senior,PM
7533,name_71,surname_71,Trainee,Dev
4019,name_72,surname_72,Middle,Dev
5396,name_73,surname_73,Senior,QA
8482,name_74,surname_74,Senior,Dev
7403,name_75,surname_75,Junior,PM
5900,name_76,surname_76,Trainee,Dev
6034,name_77,surname_77,Senior,PM
9321,name_78,surname_78,Lead,Dev
8113,name_79,surname_79,Middle,DevOps
7511,name_80,surname_80,Junior,QA
4801,name_81,surname_81,Trainee,PM
8491,name_82,surname_82,Junior,PM
7780,name_83,surname_83,Junior,DevOps
9588,name_84,surname_84,Lead,DevOps
5168,name_85,surname_85,Junior,QA
5716,name_86,surname_86,Senior,Dev
4478,name_87,surname_87,Lead,DevOps
8025,name_88,surname_88,Junior,Dev
3751,name_89,surname_89,Middle,QA
4855,name_90,surname_90,Lead,QA
8276,name_91,surname_91,Middle,QA
9887,name_92,surname_92,Lead,QA
9141,name_93,surname_93,Lead,DevOps
3523,name_94,surname_94,Trainee,PM
6427,name_95,surname_95,Senior,QA
5213,name_96,surname_96,Trainee,QA
7834,name_97,surname_97,Junior,PM
4647,name_98,surname_98,Lead,DevOps
5211,name_99,surname_99,Middle,DevOps
7324,name_100,surname_100,Trainee,DevOps
5381,name_101,surname_101,Senior,Dev
9767,name_102,surname_102,Middle,Dev
9808,name_103,surname_103,Trainee,PM
9412,name_104,surname_104,Trainee,QA
5117,name_105,surname_105,Trainee,DevOps
6174,name_106,surname_106,Junior,QA
4212,name_107,surname_107,Senior,QA
6911,name_108,surname_108,Senior,QA
5568,name_109,surname_109,Trainee,DevOps
6998,name_110,surname_110,Senior,QA
2772,name_111,surname_111,Trainee,DevOps
8371,name_112,surname_112,Trainee,Dev
3142,name_113,surname_113,Middle,DevOps
9203,name_114,surname_114,Senior,QA
5185,name_115,surname_115,Trainee,DevOps
4721,name_116,surname_116,Middle,QA
6237,name_117,surname_117,Junior,Dev
5240,name_118,surname_118,Trainee,PM
4271,name_119,surname_119,Middle,PM
2611,name_120,surname_120,Middle,PM
5611,name_121,surname_121,Lead,Dev
7734,name_122,surname_122,Junior,PM
9815,name_123,surname_123,Middle,PM
4466,name_124,surname_124,Middle,PM
3078,name_125,surname_125,Junior,PM
8054,name_126,surname_126,Lead,Dev
9490,name_127,surname_127,Senior,PM
6614,name_128,surname_128,Middle,Dev
4808,name_129,surname_129,Lead,PM
8895,name_130,surname_130,Junior,QA
3275,name_131,surname_131,Senior,PM
9672,name_132,surname_132,Trainee,QA
8148,name_133,surname_133,Middle,Dev
9394,name_134,surname_134,Trainee,DevOps
6721,name_135,surname_135,Junior,QA
7837,name_136,surname_136,Lead,PM
6809,name_137,surname_137,Senior,DevOps
6520,name_138,surname_138,Junior,DevOps
2643,name_139,surname_139,Junior,Dev
4814,name_140,surname_140,Middle,PM
7939,name_141,surname_141,Middle,DevOps
7888,name_142,surname_142,Middle,DevOps
7603,name_143,surname_143,Junior,Dev
5219,name_144,surname_144,Lead,Dev
6862,name_145,surname_145,Senior,DevOps
2515,name_146,surname_146,Middle,DevOps
9436,name_147,surname_147,Middle,DevOps
3289,name_148,surname_148,Senior,QA
7831,name_149,surname_149,Trainee,DevOps
8544,name_150,surname_150,Lead,DevOps
6761,name_151,surname_151,Middle,DevOps
8214,name_152,surname_152,Lead,QA
8452,name_153,surname_153,Lead,QA
6003,name_154,surname_154,Trainee,DevOps
9059,name_155,surname_155,Middle,QA
3319,name_156,surname_156,Middle,PM
5944,name_157,surname_157,Middle,Dev
8295,name_158,surname_158,Middle,QA
7471,name_159,surname_159,Trainee,DevOps
6314,name_160,surname_160,Senior,DevOps
4986,name_161,surname_161,Junior,DevOps
7692,name_162,surname_162,Middle,QA
3730,name_163,surname_163,Junior,PM
7903,name_164,surname_164,Middle,PM
5868,name_165,surname_165,Trainee,QA
5141,name_166,surname_166,Senior,DevOps
8074,name_167,surname_167,Trainee,Dev
6203,name_168,surname_168,Lead,QA
5014,name_169,surname_169,Senior,PM
5875,name_170,surname_170,Junior,QA
8982,name_171,surname_171,Trainee,DevOps
2624,name_172,surname_172,Junior,QA
5249,name_173,surname_173,Lead,DevOps
4332,name_174,surname_174,Senior,PM
7211,name_175,surname_175,Senior,DevOps
9166,name_176,surname_176,Junior,DevOps
9569,name_177,surname_177,Junior,PM
7800,name_178,surname_178,Junior,PM
4178,name_179,surname_179,Senior,PM
5163,name_180,surname_180,Senior,Dev
4352,name_181,surname_181,Junior,PM
8067,name_182,surname_182,Senior,DevOps
6215,name_183,surname_183,Trainee,DevOps
9360,name_184,surname_184,Lead,Dev
3131,name_185,surname_185,Junior,Dev
6585,name_186,surname_186,Middle,QA
8793,name_187,surname_187,Senior,PM
7140,name_188,surname_188,Middle,PM
3725,name_189,surname_189,Junior,Dev
6128,name_190,surname_190,Lead,DevOps
3811,name_191,surname_191,Trainee,QA
8105,name_192,surname_192,Junior,DevOps
3306,name_193,surname_193,Middle,PM
8377,name_194,surname_194,Trainee,PM
9951,name_195,surname_195,Middle,Dev
4932,name_196,surname_196,Senior,PM
8317,name_197,surname_197,Middle,PM
8161,name_198,surname_198,Middle,PM
7924,name_199,surname_199,Middle,DevOps
3684,name_200,surname_200,Junior,QA
9495,name_201,surname_201,Lead,DevOps
4016,name_202,surname_202,Trainee,PM
6458,name_203,surname_203,Middle,Dev
3244,name_204,surname_204,Trainee,PM
7358,name_205,surname_205,Senior,DevOps
9190,name_206,surname_206,Junior,DevOps
9885,name_207,surname_207,Trainee,QA
9865,name_208,surname_208,Middle,DevOps
4185,name_209,surname_209,Middle,QA
5799,name_210,surname_210,Trainee,QA
3594,name_211,surname_211,Middle,PM
7727,name_212,surname_212,Lead,DevOps
5637,name_213,surname_213,Lead,Dev
8074,name_214,surname_214,Senior,QA
6820,name_215,surname_215,Lead,Dev
7583,name_216,surname_216,Senior,DevOps
7029,name_217,surname_217,Junior,Dev
5365,name_218,surname_218,Junior,QA
4316,name_219,surname_219,Senior,PM
6509,name_220,surname_220,Trainee,Dev
3010,name_221,surname_221,Trainee,DevOps
5046,name_222,surname_222,Lead,PM
3692,name_223,surname_223,Junior,PM
6428,name_224,surname_224,Junior,Dev
9922,name_225,surname_225,Senior,PM
8893,name_226,surname_226,Senior,DevOps
7506,name_227,surname_227,Junior,QA
6911,name_228,surname_228,Trainee,QA
4007,name_229,surname_229,Senior,Dev
4176,name_230,surname_230,Trainee,DevOps
6669,name_231,surname_231,Middle,DevOps
7459,name_232,surname_232,Trainee,Dev
9697,name_233,surname_233,Trainee,DevOps
2786,name_234,surname_234,Middle,Dev
7794,name_235,surname_235,Middle,PM
8568,name_236,surname_236,Senior,Dev
7293,name_237,surname_237,Lead,QA
6603,name_238,surname_238,Senior,PM
8996,name_239,surname_239,Lead,Dev
4725,name_240,surname_240,Middle,PM
6819,name_241,surname_241,Trainee,PM
7146,name_242,surname_242,Middle,Dev
3014,name_243,surname_243,Middle,DevOps
5690,name_244,surname_244,Middle,DevOps
9154,name_245,surname_245,Middle,Dev
9912,name_246,surname_246,Junior,PM
3376,name_247,surname_247,Trainee,QA
5868,name_248,surname_248,Trainee,PM
7712,name_249,surname_249,Middle,DevOps
project_id,description
8,description_0
2,description_1
5,description_2
3,description_3
2,description_4
2,description_5
9,description_6
2,description_7
3,description_8
5,description_9
4,description_10
8,description_11
1,description_12
9,description_13
5,description_14
6,description_15
2,description_16
9,description_17
1,description_18
4,description_19
6,description_20
8,description_21
4,description_22
9,description_23
4,description_24
10,description_25
6,description_26
6,description_27
3,description_28
6,description_29
8,description_30
7,description_31
6,description_32
5,description_33
5,description_34
7,description_35
10,description_36
10,description_37
7,description_38
8,description_39
2,description_40
3,description_41
9,description_42
10,description_43
8,description_44
7,description_45
6,description_46
2,description_47
9,description_48
4,description_49
5,description_50
8,description_51
3,description_52
10,description_53
4,description_54
6,description_55
8,description_56
8,description_57
10,description_58
7,description_59
8,description_60
10,description_61
5,description_62
6,description_63
2,description_64
10,description_65
6,description_66
10,description_67
5,description_68
7,description_69
4,description_70
3,description_71
4,description_72
5,description_73
4,description_74
6,description_75
3,description_76
4,description_77
7,description_78
1,description_79
3,description_80
9,description_81
10,description_82
4,description_83
4,description_84
1,description_85
1,description_86
9,description_87
2,description_88
6,description_89
1,description_90
4,description_91
3,description_92
2,description_93
7,description_94
3,description_95
6,description_96
6,description_97
3,description_98
7,description_99
4,description_100
10,description_101
3,description_102
3,description_103
4,description_104
2,description_105
9,description_106
9,description_107
5,description_108
2,description_109
3,description_110
2,description_111
10,description_112
7,description_113
9,description_114
7,description_115
7,description_116
7,description_117
6,description_118
1,description_119
7,description_120
9,description_121
8,description_122
1,description_123
6,description_124
5,description_125
10,description_126
1,description_127
9,description_128
1,description_129
4,description_130
3,description_131
8,description_132
7,description_133
10,description_134
7,description_135
1,description_136
4,description_137
7,description_138
10,description_139
6,description_140
3,description_141
3,description_142
10,description_143
7,description_144
6,description_145
7,description_146
10,description_147
7,description_148
1,description_149
5,description_150
2,description_151
8,description_152
1,description_153
4,description_154
1,description_155
2,description_156
6,description_157
3,description_158
7,description_159
9,description_160
1,description_161
10,description_162
9,description_163
1,description_164
7,description_165
7,description_166
3,description_167
4,description_168
5,description_169
3,description_170
3,description_171
10,description_172
6,description_173
5,description_174
6,description_175
2,description_176
7,description_177
4,description_178
6,description_179
3,description_180
7,description_181
2,description_182
5,description_183
10,description_184
2,description_185
9,description_186
1,description_187
9,description_188
4,description_189
7,description_190
6,description_191
7,description_192
5,description_193
10,description_194
4,description_195
2,description_196
8,description_197
7,description_198
5,description_199
9,description_200
3,description_201
10,description_202
5,description_203
10,description_204
1,description_205
5,description_206
10,description_207
7,description_208
2,description_209
9,description_210
10,description_211
1,description_212
1,description_213
3,description_214
6,description_215
10,description_216
6,description_217
6,description_218
3,description_219
4,description_220
5,description_221
2,description_222
5,description_223
6,description_224
7,description_225
10,description_226
6,description_227
8,description_228
10,description_229
7,description_230
6,description_231
3,description_232
3,description_233
4,description_234
1,description_235
1,description_236
4,description_237
9,description_238
2,description_239
9,description_240
10,description_241
10,description_242
9,description_243
4,description_244
7,description_245
9,description_246
10,description_247
8,description_248
1,description_249
task_id,comment
90,comment_0
143,comment_1
194,comment_2
188,comment_3
18,comment_4
1,comment_5
2,comment_6
100,comment_7
25,comment_8
78,comment_9
77,comment_10
20,comment_11
52,comment_12
95,comment_13
135,comment_14
145,comment_15
1,comment_16
62,comment_17
106,comment_18
153,comment_19
58,comment_20
9,comment_21
95,comment_22
187,comment_23
191,comment_24
29,comment_25
73,comment_26
28,comment_27
114,comment_28
185,comment_29
105,comment_30
11,comment_31
97,comment_32
112,comment_33
20,comment_34
192,comment_35
156,comment_36
79,comment_37
148,comment_38
170,comment_39
19,comment_40
149,comment_41
74,comment_42
124,comment_43
58,comment_44
53,comment_45
143,comment_46
156,comment_47
171,comment_48
55,comment_49
9,comment_50
106,comment_51
163,comment_52
85,comment_53
154,comment_54
148,comment_55
26,comment_56
62,comment_57
58,comment_58
117,comment_59
173,comment_60
131,comment_61
4,comment_62
42,comment_63
24,comment_64
89,comment_65
23,comment_66
15,comment_67
10,comment_68
56,comment_69
71,comment_70
132,comment_71
11,comment_72
75,comment_73
80,comment_74
160,comment_75
153,comment_76
89,comment_77
120,comment_78
13,comment_79
30,comment_80
159,comment_81
10,comment_82
83,comment_83
135,comment_84
161,comment_85
68,comment_86
148,comment_87
142,comment_88
48,comment_89
10,comment_90
107,comment_91
175,comment_92
123,comment_93
125,comment_94
154,comment_95
181,comment_96
171,comment_97
178,comment_98
127,comment_99
75,comment_100
28,comment_101
35,comment_102
193,comment_103
107,comment_104
27,comment_105
22,comment_106
153,comment_107
133,comment_108
156,comment_109
54,comment_110
141,comment_111
79,comment_112
77,comment_113
135,comment_114
54,comment_115
148,comment_116
55,comment_117
124,comment_118
36,comment_119
196,comment_120
114,comment_121
125,comment_122
57,comment_123
172,comment_124
137,comment_125
129,comment_126
66,comment_127
39,comment_128
77,comment_129
49,comment_130
64,comment_131
19,comment_132
162,comment_133
127,comment_134
56,comment_135
119,comment_136
133,comment_137
115,comment_138
105,comment_139
34,comment_140
44,comment_141
61,comment_142
81,comment_143
25,comment_144
28,comment_145
44,comment_146
123,comment_147
48,comment_148
193,comment_149
121,comment_150
10,comment_151
62,comment_152
146,comment_153
50,comment_154
24,comment_155
55,comment_156
88,comment_157
178,comment_158
108,comment_159
168,comment_160
141,comment_161
23,comment_162
20,comment_163
7,comment_164
47,comment_165
190,comment_166
153,comment_167
40,comment_168
195,comment_169
161,comment_170
191,comment_171
53,comment_172
87,comment_173
32,comment_174
94,comment_175
24,comment_176
79,comment_177
8,comment_178
15,comment_179
44,comment_180
82,comment_181
99,comment_182
6,comment_183
109,comment_184
49,comment_185
74,comment_186
41,comment_187
26,comment_188
143,comment_189
161,comment_190
4,comment_191
29,comment_192
154,comment_193
22,comment_194
43,comment_195
154,comment_196
87,comment_197
141,comment_198
